candidate_id,job_id,education_level,years_experience,num_relevant_skills,skills,internal_referral,interview_score,technical_test_score,soft_skill_score,hiring_eligibility
48,313,Bachelor,19,3,Data Visualization,Yes,1.22,4.18,3.87,Not Eligible
49,4358,Bachelor,19,1,"Machine Learning, Communication, Python",Yes,1.93,9.32,7.33,Not Eligible
50,621,Bachelor,19,2,"Cloud Computing, Python, Excel",No,3.87,4.09,7.06,Not Eligible
51,594,Bachelor,14,3,Excel,No,3.15,3.8,9.37,Not Eligible
52,2897,Master,19,3,"Python, Excel, Data Visualization",No,4.25,9.51,8.19,Eligible
53,4540,Master,13,2,"Leadership, Communication, Data Visualization, Python",No,7.8,8.96,4.08,Eligible
54,612,Master,5,1,Data Visualization,No,2.96,5.29,5.18,Not Eligible
55,4953,Bachelor,0,4,"Machine Learning, SQL",No,6.63,3.35,6.11,Not Eligible
56,627,Master,7,1,"SQL, Excel, Python, Communication",Yes,8.93,2.17,4.58,Eligible
57,1948,Bachelor,3,2,Leadership,No,3.74,8.19,9.86,Not Eligible
58,2336,Bachelor,12,2,"Communication, Leadership",No,1.44,7.54,1.3,Not Eligible
59,1968,Bachelor,2,2,"SQL, Excel",No,6.68,1.95,6.81,Not Eligible
60,1427,Master,1,3,"Cloud Computing, SQL, Machine Learning",No,7.45,7.66,6.54,Not Eligible
61,2079,Bachelor,10,2,"Python, Excel, Communication",No,5.29,9.08,9.39,Not Eligible
62,3004,Bachelor,5,4,"Python, Leadership, Communication, Data Visualization",Yes,4.85,1.5,9.11,Not Eligible
63,2455,Bachelor,12,1,"Excel, Cloud Computing, Leadership, SQL",No,7.72,4.7,9.27,Not Eligible
64,502,Bachelor,1,3,"Leadership, Data Visualization",No,4.75,4.68,9.9,Not Eligible
65,4737,Bachelor,13,2,"Leadership, Cloud Computing",No,1.04,8.29,3.95,Not Eligible
66,1174,Bachelor,10,2,Machine Learning,No,9.01,2.07,5.41,Not Eligible
67,1928,Bachelor,7,2,"Leadership, SQL, Machine Learning",No,3.28,2.36,2.68,Not Eligible
68,1349,Master,9,4,"Machine Learning, Cloud Computing, Data Visualization, Leadership",Yes,6.48,4.45,8.33,Eligible
69,3708,Master,14,4,"SQL, Cloud Computing",No,5.99,8.67,6.16,Eligible
70,3361,Master,12,1,SQL,Yes,5.62,9.88,7.2,Not Eligible
71,4672,Bachelor,6,1,Excel,Yes,3.22,5.92,1.55,Not Eligible
72,2876,Bachelor,6,4,"Cloud Computing, Machine Learning",Yes,7.66,2.42,1.53,Eligible
73,1578,Master,3,4,"Cloud Computing, SQL",No,3.21,9.13,1.67,Not Eligible
74,3893,Bachelor,3,4,"Cloud Computing, Excel",No,9.45,2.46,7.43,Not Eligible
75,1997,Bachelor,17,1,Cloud Computing,No,6.04,4.31,4.31,Not Eligible
76,4298,Bachelor,15,3,"Cloud Computing, Communication",No,7.93,7.67,7.73,Eligible
77,3434,Bachelor,19,1,SQL,Yes,7.7,1.54,5.66,Eligible
78,2425,Bachelor,12,2,Python,No,9.71,5.36,2.73,Not Eligible
79,534,Bachelor,1,1,"Data Visualization, Leadership, Machine Learning",No,5.79,4.67,2.03,Not Eligible
80,2326,Master,14,4,"Leadership, Cloud Computing, Data Visualization",No,1.5,9.51,9.35,Eligible
81,3455,Master,6,3,Machine Learning,No,1.79,5.92,6.92,Not Eligible
82,3614,Bachelor,8,1,"Excel, Python",No,4.22,8.99,6.44,Not Eligible
83,4136,Bachelor,18,3,SQL,Yes,4.24,1.8,6.51,Not Eligible
84,3153,Master,7,2,Leadership,No,2.96,6.02,4.24,Not Eligible
85,3873,Bachelor,9,3,"SQL, Cloud Computing, Excel, Leadership",No,9.33,7.23,1.92,Eligible
86,1506,Bachelor,3,1,"Leadership, Excel, Cloud Computing, Python",No,5.26,2.36,8.9,Not Eligible
87,2291,Bachelor,11,2,"Leadership, Excel",No,9.12,8.63,9.31,Not Eligible
88,1342,Master,7,1,Machine Learning,No,1.5,8.91,5.21,Not Eligible
89,1759,Master,0,4,Leadership,No,4.13,7.1,4.82,Not Eligible
90,1945,Bachelor,8,1,"Data Visualization, Cloud Computing",No,4.24,5.68,2.98,Not Eligible
91,1556,Bachelor,6,4,"Leadership, Communication, Python",No,1.34,7.25,1.08,Eligible
92,4215,Bachelor,8,2,"Cloud Computing, SQL, Communication",No,6.83,3.57,7.31,Not Eligible
93,1603,Bachelor,6,2,"Machine Learning, Cloud Computing, Python, Data Visualization",Yes,2.28,2,5.5,Not Eligible
94,1722,Bachelor,1,1,"Cloud Computing, Communication, SQL, Python",No,4.12,5.97,9.55,Not Eligible
95,2554,Bachelor,19,2,"Cloud Computing, Data Visualization, Communication, Python",Yes,9.83,5.34,1.4,Eligible
96,4521,Bachelor,15,1,"SQL, Python",No,9.37,4.84,4.03,Not Eligible
97,576,Bachelor,9,3,"SQL, Excel, Data Visualization",No,3.35,2.7,9.87,Not Eligible
98,870,Bachelor,9,3,"Data Visualization, Machine Learning, Communication, Excel",No,3.83,2.71,6.59,Not Eligible
99,1326,Master,13,1,"Machine Learning, Python",No,5.86,9.87,4.16,Not Eligible
100,2792,Bachelor,8,3,"SQL, Cloud Computing",Yes,3.57,9.34,2.79,Eligible
101,1210,Bachelor,18,4,"Machine Learning, SQL",Yes,7.53,3.28,1.59,Eligible
102,4248,PhD,18,4,"Excel, Leadership, Communication",No,6.1,1.54,9.31,Not Eligible
103,3607,Bachelor,1,1,"Data Visualization, Python, Cloud Computing, Excel",No,5.25,3.92,4.61,Not Eligible
104,2568,Bachelor,19,2,"SQL, Leadership, Python",Yes,9.62,8.61,9.5,Eligible
105,3964,Bachelor,18,3,"Leadership, Data Visualization, Communication",Yes,2.96,3.01,4.16,Not Eligible
106,3728,Bachelor,10,4,"Excel, Leadership, Data Visualization, Cloud Computing",No,8.73,9.86,9.49,Eligible
107,1981,Bachelor,5,2,"Data Visualization, Cloud Computing, SQL, Excel",Yes,7.54,2.83,8.29,Eligible
108,1901,Bachelor,16,4,"Python, SQL, Cloud Computing, Excel",No,2.81,6.02,3.94,Not Eligible
109,2461,Bachelor,4,4,"Communication, Excel",Yes,2.66,9.93,4.83,Not Eligible
110,3839,PhD,10,1,Python,Yes,6.2,2.17,9.49,Eligible
111,1343,Bachelor,3,1,Cloud Computing,No,1.72,2.78,7.7,Not Eligible
112,1690,Bachelor,0,3,Data Visualization,Yes,5.33,6.31,8.24,Not Eligible
113,905,Master,15,4,"Data Visualization, Python, Communication",No,4.03,8.1,6.64,Eligible
114,3475,Master,3,4,"Machine Learning, Communication",No,8.66,7.32,1.54,Eligible
115,1863,Bachelor,14,2,"Communication, SQL, Excel, Machine Learning",Yes,6.37,6.3,8.74,Eligible
116,4720,PhD,2,1,"Data Visualization, Communication, Excel, Cloud Computing",No,6.76,4.87,8,Not Eligible
117,3865,Master,11,1,"Cloud Computing, Data Visualization, Communication",Yes,3.94,8.08,6.14,Not Eligible
118,536,Bachelor,14,4,"SQL, Cloud Computing, Data Visualization, Python",No,2.95,2.27,7.26,Not Eligible
119,687,Bachelor,10,2,"Data Visualization, Machine Learning, Excel",Yes,5.83,3.21,3.08,Not Eligible
120,3773,Bachelor,2,2,"Machine Learning, Leadership",No,9.5,8.1,9.33,Not Eligible
121,738,Bachelor,18,1,"Data Visualization, Leadership, Cloud Computing",No,6.36,3.53,2.93,Not Eligible
122,1181,Bachelor,10,2,"Machine Learning, Cloud Computing, Python, Leadership",Yes,1.17,2.24,7.06,Not Eligible
123,2914,Bachelor,7,4,"Leadership, SQL, Excel, Communication",No,9.67,8.59,5.28,Eligible
124,788,Master,18,3,"SQL, Machine Learning, Python",No,8.5,7.92,5.96,Eligible
125,773,Bachelor,1,2,Cloud Computing,Yes,8.95,6.75,2.85,Eligible
126,236,Master,1,3,SQL,No,5.07,6.9,2.63,Not Eligible
127,4574,Bachelor,11,4,Cloud Computing,Yes,9.07,6.97,3.96,Eligible
128,690,Bachelor,7,2,Cloud Computing,Yes,3.33,7.58,1.27,Not Eligible
129,774,Master,5,4,"SQL, Cloud Computing",No,8.21,3.84,2.09,Eligible
130,151,Bachelor,2,1,"Leadership, SQL, Data Visualization, Excel",No,6.51,8.79,4.28,Not Eligible
131,1501,Master,10,1,Cloud Computing,No,9.57,3.34,6.47,Eligible
132,4100,Master,15,2,"Communication, Python, Leadership",No,3.67,4.72,4.17,Not Eligible
133,1883,Bachelor,10,2,"SQL, Leadership, Data Visualization, Communication",No,2.11,5.59,1.66,Not Eligible
134,3978,Bachelor,9,4,Data Visualization,No,7.45,8.26,8.21,Eligible
135,3234,Bachelor,9,1,"Leadership, Communication, Cloud Computing, Data Visualization",Yes,9.87,4.9,2.42,Eligible
136,1627,Master,16,2,"Python, SQL, Communication",Yes,2.31,5.57,1.5,Not Eligible
137,1466,Master,10,1,Communication,Yes,1.92,8.67,4.17,Not Eligible
138,2824,Bachelor,13,1,"SQL, Machine Learning, Data Visualization",Yes,4.88,10,5.18,Not Eligible
139,126,Bachelor,8,1,"Machine Learning, Cloud Computing",Yes,7.48,8.14,9.03,Eligible
140,4020,Bachelor,15,3,"SQL, Excel, Python",No,6.37,3.72,3.23,Not Eligible
141,4212,Bachelor,5,4,"Leadership, Excel, Communication",Yes,9.46,1.99,6.28,Eligible
142,2588,PhD,16,3,"Excel, Leadership, SQL",No,8.28,7.25,3.48,Eligible
143,3209,Bachelor,2,3,"SQL, Data Visualization, Leadership, Excel",No,6.15,7.18,2.09,Not Eligible
144,3060,Bachelor,1,1,"Python, Cloud Computing, SQL",Yes,4.25,5.4,6.74,Not Eligible
145,2235,Master,10,1,Excel,No,8.52,7.52,7.74,Eligible
146,3473,Bachelor,17,2,"Excel, Cloud Computing",Yes,5.39,1.57,5.89,Not Eligible
147,4129,Bachelor,2,3,Python,Yes,8.88,9.95,4.03,Eligible
148,1905,Bachelor,14,1,"Excel, Leadership",Yes,6.4,5.36,9.89,Eligible
149,2061,Master,4,2,"Excel, Leadership",No,7.36,6.1,1.3,Eligible
150,3326,Bachelor,10,4,Machine Learning,No,1.42,5.79,5.97,Not Eligible
151,4455,Bachelor,2,2,"Excel, Machine Learning, Cloud Computing, Communication",No,9.91,5.9,7.02,Not Eligible
152,823,Bachelor,14,3,"Machine Learning, Communication, Data Visualization",No,7.79,8.04,4.81,Eligible
153,2062,Master,2,3,"Machine Learning, Leadership",Yes,6.24,1.64,2.2,Eligible
154,3336,Bachelor,6,3,"Cloud Computing, Machine Learning",Yes,5.79,9.29,2.61,Eligible
155,160,Bachelor,6,1,"SQL, Machine Learning",No,6.4,4.09,9.51,Not Eligible
156,907,Bachelor,10,1,Cloud Computing,No,1.41,6.63,9.14,Not Eligible
157,2787,Bachelor,15,4,"SQL, Excel, Data Visualization",No,4.28,1.52,2.58,Not Eligible
158,1701,Bachelor,3,3,"Communication, Machine Learning",Yes,1.81,5.4,1.53,Not Eligible
159,2714,Bachelor,10,2,"Machine Learning, SQL",Yes,2.58,8.33,2.55,Not Eligible
160,4429,Master,13,1,"Excel, Cloud Computing",No,4,3.82,8.9,Not Eligible
161,1574,Bachelor,7,1,"Data Visualization, Excel, Leadership",Yes,7.05,4.24,1.9,Eligible
162,3057,Bachelor,16,3,"Communication, Python, Machine Learning",No,9.38,6.8,2.46,Not Eligible
163,2152,Bachelor,17,1,"Leadership, Excel",No,9.88,1.62,7.36,Not Eligible
164,4251,Bachelor,5,3,SQL,No,7.76,4.45,8.37,Not Eligible
165,4177,Master,19,4,"Python, SQL, Data Visualization, Machine Learning",Yes,3.42,8.03,5.91,Eligible
166,3251,Bachelor,19,1,Machine Learning,No,3.9,7.02,2.76,Not Eligible
167,4495,Bachelor,9,2,Python,No,3.76,5.91,8.27,Not Eligible
168,1342,Master,5,1,"SQL, Leadership",No,8.55,6.27,4.35,Eligible
169,4705,Bachelor,11,4,"Cloud Computing, SQL, Leadership",No,7.97,3.29,7.07,Not Eligible
170,2078,Bachelor,16,3,"Data Visualization, SQL",No,1.57,9.52,3.23,Eligible
171,4530,Bachelor,12,2,"Machine Learning, Data Visualization",No,5.45,9.97,5.99,Not Eligible
172,1031,Bachelor,0,4,"Leadership, Python",Yes,6.78,2.47,4.03,Eligible
173,1831,Master,3,2,Machine Learning,No,1.14,1.68,3.1,Not Eligible
174,784,Bachelor,15,3,"SQL, Machine Learning, Python, Cloud Computing",Yes,6.34,2.56,7.56,Eligible
175,715,Master,18,4,"Machine Learning, Data Visualization",No,9.47,3.84,8.81,Eligible
176,590,Master,4,2,"Excel, Cloud Computing, Python",No,1.43,7.4,8.87,Not Eligible
177,2711,Bachelor,12,1,"Communication, Excel, Python, Machine Learning",No,2.54,5.83,4.97,Not Eligible
178,187,Bachelor,9,2,"Leadership, Data Visualization, SQL",No,1.93,1.5,9.18,Not Eligible
179,1052,Bachelor,4,4,"Machine Learning, Excel, Data Visualization",No,4.32,5.53,5.68,Not Eligible
180,490,Master,15,2,Excel,Yes,4.33,6.36,4.18,Not Eligible
181,3013,Bachelor,0,2,Machine Learning,No,9.6,2.2,7.83,Not Eligible
182,1368,Bachelor,11,1,Cloud Computing,No,8.2,1.77,3.48,Not Eligible
183,4787,Bachelor,14,4,SQL,No,6.73,4.78,4.66,Not Eligible
184,1746,Master,4,4,"Machine Learning, Python, SQL, Cloud Computing",No,6.78,7.98,8.18,Not Eligible
185,3268,Bachelor,5,2,"Machine Learning, Cloud Computing, SQL, Excel",Yes,7,2.49,5.42,Eligible
186,4311,Bachelor,10,1,"Excel, Leadership",No,2.54,2.16,2.16,Not Eligible
187,4899,Bachelor,19,2,"Cloud Computing, Excel, Leadership",No,4.19,8.56,9.59,Not Eligible
188,1163,Bachelor,13,3,Cloud Computing,No,6.82,3.31,1.11,Not Eligible
189,3783,Bachelor,1,4,"Communication, SQL, Leadership, Python",No,1.3,2.07,3.21,Not Eligible
190,594,Bachelor,9,4,"Cloud Computing, Python",Yes,5.41,9.16,8.26,Eligible
191,2586,PhD,11,1,"Machine Learning, Data Visualization, Excel, SQL",Yes,8.53,4.45,8.61,Eligible
192,559,Bachelor,8,4,Data Visualization,No,5.91,4.76,7.09,Not Eligible
193,510,Bachelor,8,1,"Excel, Python, Machine Learning, Cloud Computing",Yes,8.79,9.72,6.52,Eligible
194,3569,Bachelor,9,4,"SQL, Machine Learning",No,7.72,7.35,8.5,Eligible
195,3610,Bachelor,6,1,"Machine Learning, SQL, Leadership, Cloud Computing",No,5.85,9.2,7.71,Not Eligible
196,313,Bachelor,1,2,"Cloud Computing, Communication, Data Visualization",No,4.39,3.74,9.82,Not Eligible
197,3192,Bachelor,0,1,"Python, Leadership, SQL",No,6.9,6.46,5.15,Not Eligible
198,3294,Bachelor,18,3,SQL,Yes,5.48,5.19,3.44,Not Eligible
199,3663,Master,18,3,"Cloud Computing, Leadership, Data Visualization, Communication",No,9.95,9.99,1.04,Eligible
200,1968,Bachelor,0,2,"Python, Data Visualization, Leadership",No,6.49,5.37,3.97,Not Eligible
201,3866,Master,1,1,"Leadership, SQL, Python, Excel",No,3.27,7.19,8.44,Not Eligible
202,2049,Bachelor,3,2,"Python, Data Visualization, Machine Learning",Yes,9.67,2.81,1.3,Eligible
203,1792,Bachelor,15,3,"Communication, Machine Learning, Excel",No,3.58,2.26,7.22,Not Eligible
204,4130,Bachelor,12,4,Machine Learning,Yes,9.02,1.89,1.4,Eligible
205,4966,Master,11,2,"Leadership, SQL, Cloud Computing",No,5.43,6.15,5.28,Not Eligible
206,2473,Bachelor,4,3,Communication,Yes,7.34,8.86,4.8,Eligible
207,4050,Master,2,3,"Excel, Leadership",No,2.82,8.86,9.43,Not Eligible
208,1610,Bachelor,19,2,"Cloud Computing, Python, Machine Learning, Excel",No,6.03,1.62,3.88,Not Eligible
209,4612,Bachelor,1,3,"Excel, Communication",Yes,2.81,8.15,5.82,Not Eligible
210,4928,Master,4,3,"Cloud Computing, Python, Leadership, Data Visualization",No,3.14,8.92,6.58,Not Eligible
211,2292,PhD,0,3,"Cloud Computing, Machine Learning, Communication",No,2.46,8.27,3.61,Not Eligible
212,1546,Master,13,1,"Data Visualization, Machine Learning",Yes,5.04,1.22,3.23,Not Eligible
213,1635,Master,14,3,"Leadership, Python, Data Visualization",No,5.63,7.35,3.58,Eligible
214,32,Bachelor,3,2,SQL,No,3.36,4.34,2.16,Not Eligible
215,2633,Bachelor,11,4,Python,No,6.52,7.55,2.04,Eligible
216,2463,Bachelor,9,1,"Excel, SQL",Yes,3.44,5.13,6.33,Not Eligible
217,4495,PhD,17,4,"Excel, SQL, Machine Learning",Yes,5.69,7.03,1.91,Eligible
218,104,Master,8,1,"Leadership, Machine Learning, Communication, Python",No,7.17,3.46,2.74,Eligible
219,627,Bachelor,4,2,"SQL, Machine Learning, Excel, Python",No,1.54,2.31,2.53,Not Eligible
220,2902,Bachelor,8,4,"Machine Learning, Cloud Computing, Data Visualization, Leadership",Yes,8.74,9.3,2.25,Eligible
221,2759,PhD,18,3,"Leadership, SQL, Excel",Yes,4.22,7.47,2.27,Eligible
222,1434,Bachelor,19,2,"Machine Learning, Leadership, Python, SQL",No,5.65,9.49,8.18,Not Eligible
223,4691,Master,16,2,"Machine Learning, Leadership, Communication",No,5.01,8.26,3.18,Not Eligible
224,3294,Master,14,4,"Cloud Computing, Python",No,9.55,3.06,2.97,Eligible
225,4764,Bachelor,13,3,"SQL, Excel, Python, Cloud Computing",No,2.71,7.31,2.16,Eligible
226,3697,Bachelor,17,4,"Excel, Leadership, Python, Cloud Computing",Yes,6.64,6.04,7.31,Eligible
227,379,Master,13,3,"Leadership, Python, Cloud Computing",No,8.46,3.49,2.27,Eligible
228,3216,Bachelor,19,1,Python,No,4.86,8.79,1.5,Not Eligible
229,4016,Master,2,4,"Data Visualization, Leadership",Yes,4.02,8.02,9.97,Not Eligible
230,4339,Bachelor,1,1,"SQL, Cloud Computing",Yes,2.01,2.16,6.12,Not Eligible
231,2528,Bachelor,19,3,"Cloud Computing, Excel, Python, Data Visualization",No,7.49,6.13,7.29,Not Eligible
232,3921,Bachelor,5,3,"Machine Learning, Python, SQL, Communication",No,8.07,7.92,8.91,Eligible
233,3416,Bachelor,8,2,"Communication, Python, SQL, Excel",No,3.82,2.45,1.02,Not Eligible
234,69,Bachelor,0,3,"Python, Communication",Yes,7.98,9.93,8.24,Eligible
235,716,Master,14,4,"Leadership, Machine Learning, SQL, Communication",No,1.9,6.44,7.21,Not Eligible
236,2966,Master,0,4,"Data Visualization, Machine Learning, Python, Cloud Computing",No,4.87,8.76,3.99,Not Eligible
237,3642,Bachelor,2,3,"Cloud Computing, Excel, Data Visualization",Yes,3.49,5.92,1.51,Not Eligible
238,2535,Bachelor,15,3,"Python, Leadership",Yes,3.48,3.78,5.98,Not Eligible
239,1444,Bachelor,14,4,"Leadership, Excel, Python, SQL",No,9.37,8.52,3.76,Eligible
240,4870,Master,14,4,"Communication, Python, Excel, Leadership",No,7.99,5.03,1.34,Eligible
241,4784,Bachelor,4,3,"Python, Machine Learning",Yes,7.9,6.24,9.4,Eligible
242,3080,Bachelor,9,3,"Leadership, Communication, Data Visualization",No,5.44,6.18,1.42,Not Eligible
243,70,Bachelor,10,4,Python,Yes,6.59,1.53,5.49,Eligible
244,1374,PhD,7,2,"Machine Learning, Python, Communication, SQL",No,8.07,4.05,7.45,Eligible
245,3326,Master,14,3,"Communication, Excel, Machine Learning",No,3.4,4,5.69,Not Eligible
246,2387,Bachelor,19,2,"Cloud Computing, Python, Data Visualization",Yes,3.62,1.39,9.85,Not Eligible
247,3978,Master,11,4,"Excel, Leadership, Data Visualization",No,8.95,1.94,6.44,Eligible
248,2352,Master,3,2,"SQL, Communication, Machine Learning",No,3.06,6.14,6.26,Not Eligible
249,1902,Bachelor,9,1,"Excel, SQL, Communication, Data Visualization",Yes,7.12,3.9,6.68,Eligible
250,2667,Master,15,2,"Data Visualization, Communication, Machine Learning, Excel",Yes,9.27,5.52,9.76,Eligible
251,3106,Master,14,1,"Communication, Machine Learning",Yes,9.57,5.35,3.93,Eligible
252,3651,Bachelor,4,3,Cloud Computing,No,3.73,6.89,8.53,Not Eligible
253,282,Bachelor,11,1,"SQL, Communication",No,9.55,8.65,1.77,Not Eligible
254,2751,Bachelor,10,4,"Excel, Data Visualization",No,2.24,3.04,6.91,Not Eligible
255,662,Master,10,3,"Excel, Data Visualization, Leadership, Communication",Yes,3.18,4.25,6.18,Not Eligible
256,480,Bachelor,12,3,"SQL, Communication, Excel",Yes,4.62,6.01,6.69,Not Eligible
257,549,Bachelor,8,1,"SQL, Data Visualization, Python, Machine Learning",No,7.84,7.67,4.99,Not Eligible
258,643,Bachelor,15,4,"SQL, Python, Excel",Yes,1.81,4.45,7.35,Not Eligible
259,988,Bachelor,15,4,"Python, Machine Learning",No,3,3.39,6.98,Not Eligible
260,364,PhD,0,4,Communication,No,5.29,7.08,8.67,Not Eligible
261,3688,Bachelor,18,4,Leadership,Yes,1.67,6.97,9.22,Not Eligible
262,4066,Master,18,2,Data Visualization,No,4.17,7.81,2.86,Not Eligible
263,3980,Master,3,4,"Machine Learning, Leadership, Excel",Yes,6.53,5.48,7.68,Eligible
264,2313,PhD,4,4,"Python, Excel, Data Visualization",No,7.95,1.68,5.9,Eligible
265,1350,PhD,2,3,"Leadership, Cloud Computing, Data Visualization, Excel",No,5.51,6.3,3.66,Not Eligible
266,1170,Bachelor,18,1,"Data Visualization, SQL, Python",No,5.03,3.83,2.72,Not Eligible
267,2113,PhD,12,2,"Python, Excel, SQL, Machine Learning",No,3.99,9.98,3.17,Not Eligible
268,591,Bachelor,12,2,"Excel, Communication",Yes,4.32,6.23,4.64,Not Eligible
269,3516,Bachelor,18,3,"Leadership, Cloud Computing, Machine Learning",No,5.86,4.98,5.36,Not Eligible
270,684,Master,12,2,"SQL, Python, Leadership, Data Visualization",No,4.56,7.86,3.85,Not Eligible
271,3211,Master,4,2,"Communication, Machine Learning, Python, Excel",No,3.86,9.8,4.39,Not Eligible
272,131,Bachelor,16,3,"Leadership, Data Visualization, Machine Learning, Cloud Computing",No,6.61,5.44,9.21,Not Eligible
273,4813,Bachelor,17,4,"Excel, Leadership, Communication",No,9.97,3.98,2.72,Not Eligible
274,2821,Master,11,2,"SQL, Python, Machine Learning",Yes,3.64,5.33,1.4,Not Eligible
275,3744,Bachelor,16,1,"Cloud Computing, Data Visualization, SQL, Machine Learning",Yes,2.08,7.24,7.68,Not Eligible
276,2710,Bachelor,17,4,Excel,No,2.33,7.06,4.03,Eligible
277,1973,Master,0,4,"Communication, SQL",No,6.46,7.71,3.31,Not Eligible
278,2155,Master,1,4,Excel,No,6.01,6.58,9.53,Not Eligible
279,2074,Bachelor,12,2,"Excel, Python",No,1.96,9.59,4.32,Not Eligible
280,4009,Bachelor,9,1,"Leadership, SQL",No,4.69,4.28,4.77,Not Eligible
281,2687,Bachelor,2,2,"Cloud Computing, Machine Learning, Leadership, Excel",No,8.69,1.01,6.48,Not Eligible
282,269,Master,14,3,"Data Visualization, Cloud Computing, SQL, Machine Learning",No,5.3,2.35,4.55,Not Eligible
283,2379,Bachelor,0,2,"Python, Cloud Computing, SQL",Yes,8.04,1.4,8.43,Eligible
